name,online_order,book_table,rate,votes,approx_cost(for two people),listed_in(type),order_type
Jalsa,Yes,Yes,4.1,775,800.0,Buffet,Online
Spice Elephant,Yes,No,4.1,787,800.0,Buffet,Online
San Churro Cafe,Yes,No,3.8,918,800.0,Buffet,Online
Addhuri Udupi Bhojana,No,No,3.7,88,300.0,Buffet,Offline
Grand Village,No,No,3.8,166,600.0,Buffet,Offline
Timepass Dinner,Yes,No,3.8,286,600.0,Buffet,Online
Rosewood International Hotel - Bar & Restaurant,No,No,3.6,8,800.0,Buffet,Offline
Onesta,Yes,Yes,4.6,2556,600.0,Cafes,Online
Penthouse Cafe,Yes,No,4.0,324,700.0,other,Online
Smacznego,Yes,No,4.2,504,550.0,Cafes,Online
Village Caf̩,Yes,No,4.1,402,500.0,Cafes,Online
Cafe Shuffle,Yes,Yes,4.2,150,600.0,Cafes,Online
The Coffee Shack,Yes,Yes,4.2,164,500.0,Cafes,Online
Caf-Eleven,No,No,4.0,424,450.0,Cafes,Offline
San Churro Cafe,Yes,No,3.8,918,800.0,Cafes,Online
Cafe Vivacity,Yes,No,3.8,90,650.0,Cafes,Online
Catch-up-ino,Yes,No,3.9,133,800.0,Cafes,Online
Kirthi's Biryani,Yes,No,3.8,144,700.0,Cafes,Online
T3H Cafe,No,No,3.9,93,300.0,Cafes,Offline
360 Atoms Restaurant And Cafe,Yes,No,3.1,13,400.0,Cafes,Online
The Vintage Cafe,Yes,No,3.0,62,400.0,Cafes,Online
Woodee Pizza,Yes,No,3.7,180,500.0,Cafes,Online
Cafe Coffee Day,No,No,3.6,28,900.0,Cafes,Offline
My Tea House,Yes,No,3.6,62,600.0,Cafes,Online
Hide Out Cafe,No,No,3.7,31,300.0,Cafes,Offline
CAFE NOVA,No,No,3.2,11,600.0,Cafes,Offline
Coffee Tindi,Yes,No,3.8,75,200.0,Cafes,Online
Sea Green Cafe,No,No,3.3,4,500.0,Cafes,Offline
Cuppa,No,No,3.3,23,550.0,Cafes,Offline
Srinathji's Cafe,No,No,3.8,148,550.0,Cafes,Offline
Redberrys,Yes,No,4.0,219,600.0,Cafes,Online
Foodiction,Yes,No,2.8,506,500.0,other,Online
Sweet Truth,Yes,No,3.9,35,500.0,Dining,Online
Ovenstory Pizza,Yes,No,3.9,172,750.0,Dining,Online
Faasos,Yes,No,4.2,415,500.0,other,Online
Behrouz Biryani,Yes,No,3.9,230,650.0,Dining,Online
Fast And Fresh,Yes,No,2.8,91,400.0,Dining,Online
Szechuan Dragon,Yes,No,4.2,1647,600.0,Dining,Online
Empire Restaurant,Yes,No,4.4,4884,750.0,other,Online
Maruthi Davangere Benne Dosa,Yes,No,4.0,17,150.0,Dining,Online
Chaatimes,Yes,No,3.8,133,200.0,Dining,Online
Havyaka Mess,No,No,3.9,28,300.0,Dining,Offline
McDonald's,Yes,No,3.9,286,500.0,Dining,Online
Domino's Pizza,Yes,No,3.9,540,800.0,Dining,Online
Onesta,Yes,Yes,4.6,2556,600.0,other,Online
Hotboxit,No,No,3.8,36,400.0,Dining,Offline
Kitchen Garden,Yes,No,3.6,244,300.0,Dining,Online
Recipe,Yes,No,4.0,804,450.0,Dining,Online
Beijing Bites,Yes,No,3.7,679,850.0,Dining,Online
Tasty Bytes,Yes,No,3.1,245,300.0,Dining,Online
Petoo,No,No,3.7,21,450.0,Dining,Offline
Shree Cool Point,Yes,No,4.1,28,150.0,Dining,Online
Corner House Ice Cream,No,No,4.3,345,400.0,Dining,Offline
Biryanis And More,Yes,No,4.0,618,750.0,Dining,Online
Roving Feast,No,No,4.0,1047,450.0,Dining,Offline
FreshMenu,Yes,No,3.9,627,450.0,Dining,Online
Banashankari Donne Biriyani,Yes,No,3.8,104,300.0,Dining,Online
Wamama,Yes,Yes,4.2,354,800.0,other,Online
Five Star Chicken,No,No,3.6,55,200.0,Dining,Offline
XO Belgian Waffle,Yes,No,3.7,17,400.0,Dining,Online
Peppy Peppers,No,No,4.2,244,800.0,other,Offline
